noise_label,noise_type,noise_snr_db,noise_rt60,pipeline,clip,wer,cer,subs,dels,ins,rtf,infer_s,hypothesis,reference,peak_rss_mb,peak_mps_mb,peak_cpu_pct,mean_cpu_pct,peak_gpu_pct,mean_gpu_pct
gaussian_snr0,gaussian,0.0,,baseline,small,0.0,0.0,0,0,0,0.3876,2.021,"Number 10. Fresh Nelly is waiting on you. Good night, husband.",NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,1010.9,0.0,109.1,62.8,0,0.0
gaussian_snr0,gaussian,0.0,,baseline,medium,0.1489,0.0719,5,1,1,0.1364,2.753,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the mean wandering containerless pale for weariness. The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and spread abroad as wide as pale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,1070.7,0.0,108.7,59.1,0,0.0
gaussian_snr0,gaussian,0.0,,baseline,large,0.1901,0.0967,16,5,6,0.1357,8.064,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat and mutton pieces to be ladled out in thick, peppered, flowered fat and sauce. Suffered into you, his belly countered him. After early nightfall, the yellow lamps would light up here and there in the squallered quarter of the brothel. Hello, Bertie, any good in your mind? Number 10. Fresh Nelly is waiting on you. Good night, husband. The music came nearer and he recalled the words, the words of Shelley's frightness upon the moon wandering in tandem with pale forwearingness. The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and spread abroad its widening pale. A cold leaps its indifference, deranging itself. The chaos in which his ardor extinguished itself is a cold indifference knowledge of itself.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE STUFF IT INTO YOU HIS BELLY COUNSELLED HIM AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS HELLO BERTIE ANY GOOD IN YOUR MIND NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,1158.9,0.0,104.8,54.3,0,0.0
gaussian_snr0,gaussian,0.0,,vad,small,0.2727,0.1207,2,1,0,0.1877,0.979,"Number 10, Special Nelly is waiting on you. Goodnight, Husband.",NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,630.7,0.0,106.0,57.6,0,0.0
gaussian_snr0,gaussian,0.0,,vad,medium,0.1489,0.0791,4,1,2,0.0971,1.961,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon, wandering in timeless pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and spread abroad as white as pale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,672.6,0.0,108.4,53.8,0,0.0
gaussian_snr0,gaussian,0.0,,vad,large,0.1761,0.0906,15,2,8,0.1066,6.333,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat and mutton pieces to be ladled out in thick, peppered, floured fat and sauce, duffed into you, his belly counted in. After early nightfall, the yellow lamps would light up here and there in the squallered quarter of the brothel. Hello, Bertie, any good in your mind? Number 10. Fresh Nelly is waiting on you. Good night, husband. The music came nearer and he recalled the words, the words of Shelley's frighteners upon the moon wandering in time. They must pale for weariness, for dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and spread abroad its widening pale. A cold, leaps its indifference, the rain in his soul, the chaos in which his ardor extinguished itself, as a cold indifference knowledge of himself.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE STUFF IT INTO YOU HIS BELLY COUNSELLED HIM AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS HELLO BERTIE ANY GOOD IN YOUR MIND NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,769.1,0.0,102.5,55.0,0,0.0
gaussian_snr0,gaussian,0.0,,spectral,small,0.2727,0.0517,2,1,0,0.1799,0.938,"Number 10, fresh Nellie is waiting on you. Goodnight husband.",NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,795.8,0.0,108.6,56.6,0,0.0
gaussian_snr0,gaussian,0.0,,spectral,medium,0.4894,0.3381,6,10,7,0.1358,2.741,"The music came nearer, and he recalled the words, the words of Shelley's fragment upon the knees and wanders, and times of us hailed for real in it. The dull light fell more faintly upon the cage, whereon another's equation began, and",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,866.1,0.0,99.7,48.8,0,0.0
gaussian_snr0,gaussian,0.0,,spectral,large,0.3451,0.2154,32,8,9,0.1191,7.075,"He hoped there would be school for dinner, Turnips and carrots and bruised potatoes, And fat and much-kept, He labelled out thick, clever, flower-flat sauce. Stuffed into his belly-pumpkin. After early nightfall, the yellow lamps his light-house years there, The squallered quarter of the glass was lit. Hello, Bertie, any good in your mind? Number ten, fresh Nelly is waiting on you. Good night, husband. The music came nearer, and he recalled the words. The words of Shelley's frighten upon the meaning of wandering, and timorous tales for hearing it. The dull light fell more faintly upon the page, whereon another's equation began to unfold itself slowly, and spread abroad its white and green. A cold, lucid and different, rancor in itself. The chaos in which it arged itself is a cold, lucid, different knowledge in itself.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE STUFF IT INTO YOU HIS BELLY COUNSELLED HIM AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS HELLO BERTIE ANY GOOD IN YOUR MIND NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,1008.4,0.0,99.6,51.8,0,0.0
gaussian_snr0,gaussian,0.0,,rms,small,0.0,0.0,0,0,0,0.1959,1.022,"Number 10. Fresh Nelly is waiting on you. Good night, husband.",NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,774.7,0.0,106.3,60.2,0,0.0
