model,room,pipeline,clip,rt60,wer,cer,rtf,infer_s,hypothesis,peak_rss_mb,peak_mps_mb,peak_cpu_pct,mean_cpu_pct,peak_gpu_pct,mean_gpu_pct
openai/small,small_office,baseline,small,2.0,0.5455,0.5172,0.3494,1.822,"Now, pretend fresh and healthy on you. Good night.",3996.3,0.0,97.3,75.9,0,0.0
openai/small,small_office,baseline,medium,2.0,0.5745,0.2914,0.1816,3.666,"The music made me hear and recall the words, the words of Sheldon's tractors on the moon, luring the panelists, payable for your risk. The dull light fell, a faint day upon the page, where all the other equations began to unfold itself slowly and to spread the raw of its white container.",4121.6,0.0,104.1,66.9,0,0.0
openai/small,small_office,baseline,large,2.0,0.6479,0.3843,0.289,17.176,"He hoped there would be super-diner, and turned into some carrot-scented potatoes, and bad-hunt pieces to be laid down and thick, but without that sauce, so did his belly after him. After burning rank all, the old man just lied out here and there, and swallowed a form of the brothel. Hello, very good, good-dry. Now, very tender, fresh, nutty, fake, on you. Connect the sound, the music, and the ear, and the call to words. The words have shone as tracking from the room, wandering, and panicked, as pale for your risk. The dull light fell off a faintly upon the page, where online information began to unfold itself slowly, and to spread the raw, as wide as the tale. A cold, losing difference in rank within itself. The chaos which is harder to change to self, is a cold, different knowledge of self.",4162.9,0.0,106.0,63.2,0,0.0
openai/small,small_office,rms,small,2.0,0.2727,0.2931,0.1929,1.006,Number 10 Fresh Nelly Cake on You Good Night!,872.1,0.0,97.6,59.0,0,0.0
openai/small,small_office,rms,medium,2.0,0.5957,0.295,0.1258,2.54,"The music made me hear and recall the words, the words of Sheldon's tractors on the moon, lathering the panacea, paper for your wrist. The dull white felt a pain in the palm of the page, whereon another equation began to unfold itself slowly and to spread it all across wide and thin.",861.5,0.0,101.8,55.0,0,0.0
openai/small,small_office,rms,large,2.0,0.7183,0.4247,0.1308,7.775,"He hoped there would be soup in there, and turned into some carrot-scented potatoes, and bad-hunt pieces to be laid down and thick, but without that sauce, so did his belly after him. After early rank-all, the old man was light-eyed and hearing there, and swallowed forward with a brothel. Hello, very good to be calling to my name. Now, very tech, fresh and healthy to be on you. Connect us, and the music may be nearer and you can call the words. The words are shut and distracted from the room while you can pat us, pale for your risk. The dull white fellow, a faintly upon a page where online information began to unfold itself slowly, and to spread the raw, as white and pale. A cold, losing indifference in rank and in size. The chaos which is harder to change to self is a cold, indifference in knowledge of yourself.",885.9,0.0,109.4,58.0,0,0.0
openai/small,medium_room,baseline,small,2.0,0.9091,0.8276,0.7863,4.101,Nada goodluck. Fresh Shank,757.7,0.0,101.2,50.5,0,0.0
openai/small,medium_room,baseline,medium,2.0,0.617,0.3669,0.1175,2.372,"The music made me regret even calling the words, the words of Shelley's practice on moon and water, and the panelists pale for weird reasons. The dull body felt a faint feeling on the page where all another equation began flowing forth itself slowly and spread all its white container.",766.5,0.0,114.2,55.2,0,0.0
openai/small,medium_room,baseline,large,2.0,0.7324,0.4394,0.1257,7.473,"He ultimately released the original, turned him into a carrot-scented bruised potato, and in fact, a lot of pieces to be laid out on the thick, ever-floured fat sauce. Stubbity, his belly comes again. After the early nightfall, the apple-landed white-hot beer bear swallows the corner of the raw forest. Hello, Bertie. Good morning. Now, Bertie, fresh and healthy, I've made from you. Can't ask him. The music made me regret even the call to words. The words of Shelley's practice on whom the water had been penniless, pale for fear of risk. The dull body felt a thinking on the page where our own under-equation began to point full itself slowly and to spread raw its white container. A cold, lucidly diffused rain for itself. The chaos which had harder to change itself was coldly different from knowledge itself.",821.9,0.0,104.5,58.7,0,0.0
openai/small,medium_room,rms,small,2.0,0.5455,0.4828,0.2919,1.522,"Number 10, Fresh W.A. from U.K. Good night, gentlemen.",746.4,0.0,110.4,55.7,0,0.0
openai/small,medium_room,rms,medium,2.0,0.617,0.3561,0.1178,2.379,"The music made me regret even calling the words, the words of Shelley's practice on moon and water, and the panelists' payable curiosity. The dull body felt a faint feeling on the page where on another equation began to fully focus itself slowly and to spread it all its wide contain.",710.2,0.0,99.1,55.2,0,0.0
openai/small,medium_room,rms,large,2.0,0.7324,0.4149,0.139,8.257,"He ultimately released the original, turned him into a carrot-scented, bruised potato-tip, and fattin'-fuckin' pieces of relayed, lousy, thick, ever-flout-flat sauce. Stubbity, his belly-combo-man. After the early nightfall, the apple-latch was light-up near the bay, or the squall of the corner of the raw forest. Hello, Bertie. Good-bye. Now, Bertie, fresh-n-l-e-f-a-t from you. Canach-a-scent. The music made me regret even the call to words. The words of Shelley's practice, on whom the water had been penniless, pale for fear of risk. The dull body felt a thinking on the page where our own other equation began to play full itself slowly, and to spread raw its white container. A cold, lucidly differece, it ran with itself. The chaos, which had harder to change itself, was coldly differece in knowledge of itself.",781.0,0.0,72.8,55.5,0,0.0
openai/small,large_office,baseline,small,2.0,0.7273,0.3966,0.5,2.607,"Number 10, Freshen up and I'll be waiting for you. Good night, Mr.",586.6,0.0,110.7,51.3,0,0.0
