model,clip,rt60,pipeline,wer,cer,substitutions,deletions,insertions,hits,ref_word_count,rtf,inference_time_s,audio_duration_s,hypothesis,reference
openai/small,medium,0.2,none,0.0213,0.0072,1,0,0,46,47,0.1294,2.612,20.19,"The music came nearer, and he recalled the words, the words of Shelley's fragment upon the moon, wandering companionless, pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly, and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.2,rms,0.0213,0.0072,1,0,0,46,47,0.1083,2.186,20.19,"The music came nearer, and he recalled the words, the words of Shelley's fragment upon the moon, wandering companionless, pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly, and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.2,vad,0.0213,0.0072,1,0,0,46,47,0.106,2.141,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon, wandering companionless, pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.2,spectral,0.1277,0.0647,5,1,0,41,47,0.1057,2.135,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the wandering, hand-less, pale forwearingness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tone.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.5,none,0.0213,0.0072,1,0,0,46,47,0.0993,2.006,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.5,rms,0.0213,0.0072,1,0,0,46,47,0.0971,1.961,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.5,vad,0.0213,0.0072,1,0,0,46,47,0.1025,2.068,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,0.5,spectral,0.4043,0.2122,10,1,8,36,47,0.1119,2.259,20.19,"The music came nearer and he recalled the words, words of Shelley's fright that upon the evening ploddering and the endless of the table were rearing as the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad his wife and the tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,1.0,none,0.0213,0.0072,1,0,0,46,47,0.1091,2.203,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon, wandering, companionless, pale, for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
openai/small,medium,1.0,rms,0.0213,0.0072,1,0,0,46,47,0.1068,2.157,20.19,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon, wandering, companionless, pale, for weariness. The dull light fell more faintly upon the page, whereon another equation began to unfold itself slowly and to spread abroad its widening tale.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
